source,scraped_at,url,sku,title,time_range,roi_pct,pnl,aum,mdd_pct,win_rate_pct,copier_pnl,sharpe_ratio,copiers,max_copiers,is_full,badge,api_trading,tradfi,portfolio_type,started_at,page,position,mode,sort,data_source
binance.com,2026-09-24T08:20:13.098965+00:00,https://www.binance.com/en/copy-trading/lead-details/5194021166069388545,5194021166069388545,电鱼哥实盘,7D,83.8396,332707.1223,1121920.4601,13.9034,50.0,21379.2482,2.1572,223,400,False,MASTER,True,False,PUBLIC,2026-08-24T04:36:26.692000+00:00,1,1,copytrading,pnl-desc,bapi
binance.com,2026-09-24T08:20:13.099002+00:00,https://www.binance.com/en/copy-trading/lead-details/5133452281665177088,5133452281665177088,天天上涨,7D,26.5596,309316.069,1794434.5539,4.1099,23.0769,35455.6755,2.829,69,200,False,MASTER,False,True,PUBLIC,2026-07-13T09:46:39.864000+00:00,1,2,copytrading,pnl-desc,bapi
binance.com,2026-09-24T08:20:13.099022+00:00,https://www.binance.com/en/copy-trading/lead-details/4657722487947555584,4657722487947555584,Feed-Creator-4bc0690bb,7D,63.7928,297049.7012,795241.4473,10.4567,14.2857,1924.9073,0.6036,200,200,True,MASTER,False,True,PUBLIC,2025-08-19T05:11:34.485000+00:00,1,3,copytrading,pnl-desc,bapi
binance.com,2026-09-24T08:20:13.099040+00:00,https://www.binance.com/en/copy-trading/lead-details/5209482299220530945,5209482299220530945,Semisemi,7D,104.805,158633.2228,353815.3864,57.314,0.0,-6771.8706,,7,200,False,,False,False,PUBLIC,2026-09-03T20:35:42.045000+00:00,1,4,copytrading,pnl-desc,bapi
binance.com,2026-09-24T08:20:13.099057+00:00,https://www.binance.com/en/copy-trading/lead-details/5195394191928675585,5195394191928675585,Rainbow88,7D,33.0019,118231.4682,379867.6655,19.468,57.1429,-2763.6032,,28,200,False,,False,True,PUBLIC,2026-08-25T03:20:25.464000+00:00,1,5,copytrading,pnl-desc,bapi
